name,minutes,nutrition,n_steps,steps,description,ingredients,ingredients
amish  oatmeal cookies,20,"[2517.8, 157.0, 755.0, 89.0, 87.0, 163.0, 122.0]",24,"['to grease cookie sheets: grease cookie sheets lightly', 'too much shortening on the baking sheet will cause cookies to spread and edges will be too thin and too brown', 'do not use butter or margarine to grease sheets', 'grind raisins and peanuts in food grinder , using medium blade', 'set aside', 'sift together 6 cups flour , baking powder , salt , cinnamon and nutmeg into very large bowl or dishpan', 'cut in lard until mixture forms fine crumbs , using pastry blender', 'add ground raisin mixture , sugar and oats', 'mix well', ', using hands if necessary', 'dissolve baking soda in buttermilk in small bowl', 'add molasses and 3 of the eggs to buttermilk mixture', 'beat with rotary beater until blended', 'add buttermilk mixture to flour mixture', 'mix well with spoon', 'drop mixture by heaping teaspoonfuls or a small ice cream scoop , about 3 inches apart , on greased baking sheets', 'flatten each with bottom of drinking glass dipped in flour to 2 inch round', 'beat remaining egg in small bowl until blended', 'brush tops of each round with egg', 'bake in 375f oven 8 to 10 minutes or until golden brown', 'remove from baking sheets', 'cool on racks', 'makes 4 dozen', 'farm journals complete home baking book']",old fashioned man size cookiesâ€”3 1/2  inches in diameter.,"['raisins', 'salted peanuts', 'all-purpose flour', 'baking powder', 'salt', 'ground cinnamon', 'ground nutmeg', 'lard', 'sugar', 'quick-cooking oats', 'baking soda', 'buttermilk', 'molasses', 'eggs', 'flour']",15
amish after easter hard boiled egg veggie cream cheese salad,70,"[97.9, 10.0, 21.0, 4.0, 5.0, 17.0, 2.0]",6,"['mix celery , cucumber and onion together and salt to taste', 'dissolve 1 package lemon jello in 1 cup boiling water', 'mix cream cheese and mayo together and add other ingredients', 'add jello last when cool', 'refrigerate until set', 'cooking time is setting time']",got eggs?  hard-boiled?  have i got a recipe for you!   made originally in the fifties and still good today.,"['cream cheese', 'celery', 'cucumber', 'onion', 'eggs', 'mayonnaise', 'lemon jell-o gelatin']",7
amish apple cake with hot caramel sauce,40,"[722.6, 65.0, 278.0, 30.0, 7.0, 120.0, 28.0]",13,"['preheat oven to 350 degrees', 'in a large bowl , cream the butter', 'add the sugar and beat until fluffy', 'add egg and beat until blended , then mix in the baking soda , salt , cinnamon , and nutmeg', 'add the flour and stir just until blended', 'stir in the apples and nuts', 'pour into an oiled 9 inch round cake pan and bake for 30 minutes or until the top springs back when touched lightly in the center', 'prepare sauce', 'in a saucepan , melt the butter , brown sugar , and salt', 'bring to a boil , stirring with a whisk , then remove from heat and whisk in the vanilla and the cream', 'serve the cake warm with the hot caramel sauce and a dollop of whipped cream', 'the cake gets better as it ages , keeps for a week in the refrigerator , and also freezes well', 'it can be reheated in the microwave']","this is one of our favorite cake recipes, originally published in cooking from quilt country by marcia adams. i modified the caramel sauce a bit and increased the amount of the sauce since it is so wonderful! the cake keeps well and can be reheated briefly in the microwave. extra caramel sauce is divine over ice cream!","['pecans', 'cooking apples', 'butter', 'granulated sugar', 'egg', 'baking soda', 'salt', 'ground cinnamon', 'nutmeg', 'flour', 'brown sugar', 'vanilla', 'heavy cream']",13
amish apple crisp,60,"[549.6, 26.0, 261.0, 22.0, 11.0, 51.0, 32.0]",7,"['place apple mixture in a deep dish pie pan', 'sprinkle with sugar and cinnamon', 'mix topping ingredients , except the cinnamon and butter , with a fork until blended', 'sprinkle topping over apples', 'drizzle melted butter over topping', 'sprinkle with cinnamon', 'bake at 375f degrees for 40 minutes']","another wonderful amish inspired dish. we serve this for dessert, or for breakfast. very tasty!","['apples', 'sugar', 'cinnamon', 'flour', 'baking powder', 'salt', 'egg', 'butter']",8
amish baked apples,50,"[259.7, 1.0, 211.0, 0.0, 2.0, 3.0, 21.0]",4,"['place apples in greased 9 x 13 inch dish', 'mix remaining ingredients together in order given , in pan and bring to a boil', 'simmer , stirring until thick', 'pour syrup over apples and bake at 350 for 35 to 40 minutes or until tender']",very good version of baked apples.,"['apples', 'white sugar', 'brown sugar', 'flour', 'cinnamon', 'butter', 'water']",7
amish baked chicken,120,"[760.2, 89.0, 0.0, 86.0, 89.0, 122.0, 4.0]",4,"['mix the dry ingredients well in a plastic bag , then coat the cut up chicken parts with the mixture', 'in a cake pan , melt the butter', 'place the chicken parts in the pan , but do not crowd them', 'bake the chicken at 350 degrees for 1 1 / 2 to 2 hours or until done']",,"['flour', 'paprika', 'pepper', 'dry mustard', 'salt', 'broiler chickens', 'butter']",7
amish baked corn,55,"[201.8, 17.0, 2.0, 16.0, 12.0, 14.0, 6.0]",5,"['beat eggs into milk', 'combine corn eggs , milk , seasonings and 2 tbs melted butter', 'pour into casserole dish', 'mix remaining butter and bread crumbs and sprinkle on top', 'bake 350 degrees for 40 minutes']",i enjoy making simple amish dishes and have been making this for years at thanksgiving.,"['frozen corn', 'eggs', 'milk', 'flour', 'sugar', 'salt', 'pepper', 'margarine', 'breadcrumbs']",9
amish baked creamed chicken,110,"[368.8, 49.0, 0.0, 20.0, 21.0, 87.0, 3.0]",7,"['mix flour , salt , and pepper together', 'dredge chicken in mixture', 'melt butter in skillet', 'brown floured chicken on both sides , then place in roasting pan', 'pour cream over chicken', 'cover', 'bake at 350 degrees for 1-1 / 2 to 2 hours']",i found this in my best of amish cooking cookbook. comfort food at it's best.,"['roasting chicken', 'flour', 'salt', 'pepper', 'butter', 'cream']",6
amish baked fried chicken,80,"[328.9, 32.0, 0.0, 22.0, 35.0, 44.0, 5.0]",8,"['mix the beaten egg and milk together', 'dip chicken parts in liquid', 'stir together the salt , pepper and cracker crumbs', 'dip chicken in dry mixture , using a spoon to cover well', 'melt butter in a heavy cast iron skillet', 'brown chicken well on both sides', 'remove from stove top and place into the oven , cover with foil and bake at 325 degrees for 30 minutes', 'uncover and continue baking for an aditional 30 minutes']",when i visited amish country in penn. i fell in love with the fried chicken they made. here is one of their recipes. very tasty!,"['chicken', 'egg', 'milk', 'salt', 'pepper', 'cracker crumb', 'butter']",7
amish baked noodles with ham,75,"[601.5, 41.0, 17.0, 10.0, 64.0, 63.0, 19.0]",8,"['saute the onion and celery in the 3 tablespoons of butter', 'add the flour and mustard and heat for a couple of minutes until the flour is cooked', 'gradually add the milk , stirring constantly , and continue heating until thickened', 'stir in the ham and peas and then toss in the noodles', 'season to taste with salt and pepper', 'pour into a greased casserole dish', 'sprinkle the top with bread crumbs and dot with butter', 'bake at 350f for about 45 minutes']",insanely delicious comfort food!,"['onion', 'celery', 'butter', 'flour', 'mustard', 'milk', 'cooked ham', 'frozen green pea', 'egg noodles', 'salt and pepper', 'breadcrumbs']",11
amish baked oatmeal,55,"[407.1, 25.0, 109.0, 13.0, 18.0, 42.0, 19.0]",8,"['melt butter', 'grease 1 1 / 2 quart baking dish and drop in eggs and beat well', 'add brown sugar , baking powder , vanilla , nutmeg or cinnamon , and salt', 'mix well , no lumps', 'whisk in butter and both measures of milk , then add oats', 'stir well , and refrigerate overnight', 'bake , uncovered , at 350 for 35-45 min , or until set in the middle', 'serve hot with warm milk poured over']","this recipe came from an old amish cookbook of mine.  it tastes like an oatmeal cookie.  it stores well in the refrigerator and can be reheated in the microwave and served with milk.  this has to sit overnight, so plan accordingly.  it is well worth the wait, however!","['butter', 'eggs', 'brown sugar', 'baking powder', 'vanilla', 'nutmeg', 'salt', 'milk', 'oatmeal']",9
amish banana nut cake with penuche frosting,90,"[700.8, 44.0, 345.0, 26.0, 12.0, 57.0, 35.0]",13,"['for the cake , cream the shortening and sugar together until fluffy', 'add eggs , one at a time , beat after each', 'blend dry ingredients and add alternately with buttermilk', 'stir in bananas and walnuts', 'bake at 350f in two greased 9 inch cake pans for 35 or 40 minutes', 'wait 10 minutes to remove from pan', 'let cool completely before frosting', 'for the frosting , melt the butter in a saucepan , stir in the brown sugar and bring to boil', 'reduce the heat and simmer 2 minutes , stirring', 'add the milk and bring back to boil , stirring', 'pour into a mixing bowl and add the salt and vanilla', 'gradually beat in the powdered sugar until spreading consistency', 'frost the cake between the layers , top , then sides']","this is my dad's favorite birthday cake. old, even brown, bananas make a moister cake. this can be made a couple days ahead and covered tightly at room temperature.","['vegetable shortening', 'sugar', 'eggs', 'all-purpose flour', 'baking powder', 'baking soda', 'salt', 'buttermilk', 'bananas', 'black walnut', 'butter', 'brown sugar', 'milk', 'vanilla extract', 'powdered sugar']",15
amish bbq pork chops,70,"[605.6, 44.0, 60.0, 51.0, 127.0, 46.0, 7.0]",3,"['mix the soup , catsup , worcestershire sauce and onions together and pour over the chops', 'bake 1 hour at 325 degrees or until the chops are tender', 'you may prefer thicker chops- just bake longer']",,"['pork chops', 'mushroom soup', 'catsup', 'worcestershire sauce', 'onion']",5
amish bean soup,240,"[274.8, 1.0, 20.0, 1.0, 33.0, 0.0, 17.0]",5,"['boil the beans in the water for 2 minutes before removing them from the heat to let stand for 1 hour', 'add the ham bone , garlic and bay leaf to the beans , and cover and simmer them for 2 hours or until the ingredients are almost tender', 'add the vegetables and salt and pepper to taste , and simmer them for 1 hour longer', 'remove the ham bone , cut off the meat and dice it to add to the beans', 'reheat the soup almost to boiling , then remove the bay leaf']","this is a wonderful warm soup to warm the heart in these last cold days of winter. being in wisconsin, warm soup is always a welcome thing. this is a very simple amish soup, so it has very simple ingredients. it's perfect for a beginner cook or someone like me who just wants something easy.","['dried navy beans', 'water', 'ham bone', 'garlic clove', 'bay leaf', 'potato', 'celery', 'onion', 'carrot', 'salt and pepper']",10
amish biscuits,0,"[62.3, 7.0, 0.0, 5.0, 2.0, 8.0, 1.0]",9,"['in a large bowl combine flour , baking soda , salt and baking powder', 'in a separate bowl combine eggs , amish starter and oil', 'mix well', 'add starter to dry ingredients and mix until dough pulls away from sides of bowl', 'transfer to a lightly floured surface and roll until 1 / 2 inch thick', 'using a 3 inch circle cutter or floured glass cut out biscuits and place on a lightly grease cookie sheet', 'brush top of biscuits with melted butter', 'cover and let rise 30 minutes', 'bake in a preheated 350 degree oven for 15 - 20 minutes']",,"['all-purpose flour', 'baking soda', 'salt', 'baking powder', 'eggs', 'amish starter', 'vegetable oil', 'butter']",8
amish blueberry cake,55,"[481.8, 29.0, 143.0, 22.0, 16.0, 56.0, 23.0]",1,"['cream butter , add sugar a little at a time , add eggs , some of the flour sifted with salt and baking powder , blend slowly adding milk and rest of flour , wash blueberries add to batter pour into 9x13 baking pan bake at 325 degrees for 45 mins']","this is a lovely cake to make with fresh blueberries, serve with a little whipped cream on top and enjoy!","['butter', 'sugar', 'eggs', 'flour', 'salt', 'baking powder', 'milk', 'blueberries']",8
amish bob   andy pie,55,"[288.7, 8.0, 206.0, 6.0, 9.0, 14.0, 18.0]",8,"['preheat oven to 350', 'beat all ingredients together very well and pour into a 9-inch unbaked pie shell', 'bake for 45 minutes', 'the pie will quiver', 'the top will be puffed up when you', 'remove the pie from the oven and will fall down after it has cooled', 'the pie is best', 'served at room temperature']",this is an old amish throw back recipe.,"['granulated sugar', 'brown sugar', 'all-purpose flour', 'ground cinnamon', 'ground cloves', 'salt', 'eggs', 'milk', 'butter', 'vanilla extract']",10
amish bob andy pie,60,"[1096.1, 34.0, 801.0, 11.0, 35.0, 57.0, 71.0]",6,"['on the three large eggs , you will need to seperate and beat yolks and whites in seperate bowls', 'mix together sugar , flour , cloves and cinnamon', 'add butter , beaten egg yolks and milk', 'in a seperate mixing bowl , beat 3 egg whites till peaks form', 'fold this into first mixture', 'pour into 2 unbaked pie shells and bake at 350 till set']",this is really very good...,"['granulated sugar', 'milk', 'clove', 'eggs', 'flour', 'butter', 'cinnamon']",7
amish boiled cookies    2 ww points,65,"[80.4, 4.0, 37.0, 1.0, 2.0, 5.0, 4.0]",6,"['in a small saucepan , over medium heat , mix the butter , milk , sugar , and cocoa', 'bring to a boil and cook for 1 minute', 'remove from heat and stir in the peanut butter , vanilla , and salt', 'mix in the oats and pecans', 'using a small cookie scoop or teaspoon , drop onto waxed paper and allow cookies to stand 1 hours', 'store in an airtight container']",i don't recall where i got this recipe from but we like these cookies. you can use full fat products if desired.,"['light butter', '1% low-fat milk', 'sugar', 'unsweetened cocoa', 'reduced-fat peanut butter', 'vanilla', 'salt', 'quick-cooking oats', 'pecans']",9
amish bread,210,"[1890.6, 48.0, 270.0, 73.0, 84.0, 20.0, 118.0]",12,"['dissolve sugar in warm water in a bowl', 'add yeast and allow to sit 10 minutes', 'add oil , salt and flour', 'mix well', 'knead well', 'place in a well oiled bowl , and cover for one hour to one and one half hours', 'knead down', 'let rest 10 minutes', 'form into 2 loaves', 'place in greased loaf pans', 'allow to rise , covered , for one hour', 'bake 350f 30 minutes til golden']",got this recipe from a friend.,"['warm water', 'sugar', 'yeast', 'salt', 'vegetable oil', 'flour']",6
amish bread for the bread machine,245,"[1292.2, 59.0, 135.0, 32.0, 49.0, 25.0, 69.0]",5,"['add ingredients in order given', 'select basic bread cycle', 'let it go until the bread completes the 2nd rising', 'then turn off the machine and restart it on basic cycle again', 'let cook as normal']",this bread is very light and airy.  it is due to the fact the bread is put through the rising cycles twice.,"['water', 'salt', 'oil', 'sugar', 'bread flour', 'yeast']",6
amish bread ii,30,"[1938.3, 89.0, 203.0, 48.0, 74.0, 38.0, 104.0]",10,"['proof the yeast in 3 / 4 cup warm water and 1 / 4 cup sugar', 'add the rest of the ingredients once the yeast is lively', 'mix well', 'turn the batter out on a floured surface and knead thoroughly , about 10 minutes', 'coat a bowl with oil or butter', 'put the dough in the oiled bowl and allow it to rise until it has doubled in bulk', 'punch the dough down and shape into bread pan', 'allow it to rise again', 'the second rise usually only takes about 1 hour', 'bake for 25 - 30 minutes in a 350f oven']","i'm posting this slightly different version of amish white bread.  this is an excellent sandwich bread, kind of like the wonder bread of home baking.  others have adapted it with wheat, spelt and other flour combinations.  it keeps pretty well if you wrap it tightly.  you can also adjust the sugar content downward because it's pretty sweet to me but kids tend to love it!","['flour', 'oil', 'active dry yeast', 'sugar', 'salt', 'warm water']",6
amish bread pudding,55,"[618.2, 72.0, 105.0, 12.0, 21.0, 138.0, 13.0]",5,"['soak torn bread in cream', 'add sugar and butter , beaten eggs , cinnamon , salt and vanilla , stirring to blend', 'put into a buttered baking dish', 'may add a little chopped citron , chopped raisins or dates if you wish', 'bake approximately 40 minutes in a 375 oven']",what's better than bread pudding ? this sounds delish ! another recipe out of my missouri amish cookbook 1990. i am unsure of the serving size or pan size.,"['dry bread', 'sugar', 'cream', 'eggs', 'cinnamon', 'vanilla', 'butter', 'salt']",8
amish breakfast casserole,55,"[338.4, 37.0, 5.0, 20.0, 30.0, 45.0, 5.0]",9,"['in a large skillet , cook bacon and onion until bacon is crisp', 'drain', 'in a large bowl , combine the remaining ingredients', 'stir in bacon mixture', 'transfer to a greased 13-in', 'x 9-in', 'baking dish', 'bake , uncovered , at 350 for 35-40 minutes or until a knife inserted near the center comes out clean', 'let stand for 10 minutes before cutting']",this is a recipe that i found in taste of home magazine.  this is a hearty filling breakfast and so tasty!!!  you can change the bacon to ham or sausage and add red/green pepper if you like.,"['bacon', 'sweet onion', 'eggs', 'frozen hash brown potatoes', 'shredded cheddar cheese', 'cottage cheese', 'swiss cheese', 'salt and pepper']",8
amish broccoli salad,15,"[599.2, 68.0, 96.0, 41.0, 29.0, 80.0, 13.0]",5,"['combine chopped broccoli and cauliflower in large bowl', 'in a separate bowl combine the mayonnaise , sour cream , sugar and salt to make a dressing', 'add the dressing to the broccoli / cauliflower mix , stirring to evenly coat the veggies', 'stir in the bacon and cheese , reserving a small amount to sprinkle on top of salad just before serving', 'refridgerate until serving']",great broccoli salad recipe,"['broccoli', 'cauliflower', 'mayonnaise', 'sour cream', 'sugar', 'salt', 'bacon', 'shredded cheddar cheese']",8
amish brown sugar ham steak and scalloped potato skillet  vintag,60,"[428.9, 26.0, 28.0, 110.0, 64.0, 28.0, 12.0]",8,"['in 10"" skillet brown ham in oleo and brown sugar', 'remove ham , pour off fat', 'mix in same skillet , the soup , milk , water , onion , salt & pepper', 'stir in 3 c thinly sliced potatoes and carrots', 'cover , cook over low heat stirring now and then , until veggies are tender , about 35 minutes', ""lift veggies from the bottom so they don't stick"", 'place whole ham slice or cut in serving size pieces and place on top of veggies', 'cover and cook about 10 minutes more']","this is quite different from the usual cubed ham/potato casserole.  the little bit of brown sugar flavors the potatoes and ham as well the sauce.  an attractive presentation and a family favorite for years.  even the kids liked it.  you can sub half&half or milk for the evaporated milk, in which case just use 1 cup of milk and forget the water.  but then again, the evaporated milk adds a little something to the flavor.","['ham', 'margarine', 'brown sugar', 'cream of mushroom soup', 'evaporated milk', 'water', 'onion', 'salt', 'pepper', 'potatoes', 'raw carrot']",11
amish brown sugar pie,65,"[211.0, 14.0, 70.0, 6.0, 6.0, 20.0, 9.0]",10,"['preheat oven to 350 degrees', 'in the pie shell , place the brown sugar , flour and salt', 'mix with your fingers', 'pour the evaporated milk over the flour and sugar , but do not stir or mix this in', 'dot with butter , and sprinkle with cinnamon , liberally , over all', 'bake for 50 minutes , or until the filling just bubbles up in the middle', ""the filling will never completely set , but that's the way it's supposed to be"", 'this pie is better eaten at room temperature', 'if you refrigerate leftovers , reheat them in the oven before serving', 'for that size , bake 1 hour and 20 minutes']","an old recipe. this pie is best when eaten at room temperature. it is rich, so pieces are small.","['unbaked 8-inch pie shell', 'brown sugar', 'all-purpose flour', 'salt', 'evaporated milk', 'butter', 'ground cinnamon']",7
amish brownies,30,"[341.9, 39.0, 70.0, 6.0, 12.0, 64.0, 10.0]",4,"['melt chocolate and butter in saucepan', 'over low to medium heat', 'remove from heat and add all other ingredients and stir well -- until blended', 'pour into a sprayed 9x13"" pan -- bake 20 minutes at 350 --']",this will make 24 moist and chewy brownies..or 12 at our house!!,"['baking chocolate squares', 'butter', 'sugar', 'eggs', 'vanilla', 'salt', 'flour', 'nuts']",8
amish butter noodles 1965,35,"[390.6, 15.0, 1.0, 28.0, 24.0, 26.0, 20.0]",11,"['in a large bowl , stir together the flour and salt', 'add the beaten egg , milk , and melted butter , and coluring', 'knead dough until smooth , about 5 minutes', 'if you have to add extra flour for a nice baby bum soft dough then do so now', 'you want a smooth soft , but not sticky to the counter dough', 'let rest in a covered bowl for 10 minutes', 'i usually leave on a floured board with the bowl inverted on top', 'on a floured surface , roll out to 1 / 8 or 1 / 4 inch thickness', 'cut into desired lengths and shapes', 'allow to air dry before cooking', 'to cook fresh pasta , in a large pot with boiling salted water cook until al dente']","i had these while i was having a buffet in shipshewana, asked for the recipe for the noodles, and here it is.","['all-purpose flour', 'salt', 'eggs', 'milk', 'butter', 'yellow food coloring']",6
amish buttermilk cheesecake,85,"[320.0, 34.0, 41.0, 13.0, 14.0, 68.0, 7.0]",14,"['preheat oven to 350 degrees', 'melt butter , stir in brown sugar , flour and oats', 'press into 9 or 10 inch spring form pan', 'beat cream cheese , and brown sugar in a bowl until smooth', 'beat in the buttermilk , flour and soda until smooth', 'beat in two large eggs until mixed , add in vanilla , dont overbeat', 'spoon into prepared crust lined pan', 'sprinkle the top with the crushed macarrons', 'bake in oven for 70 minutes or until set', 'this tends to be jiggly for a long time , so dont over cook , but keep centre semi jiggily', 'if desired turn heat off and let cool with door ajar', 'this also puffs up to the top of pan , top browns , and when cooled does fall in the centre area', 'cool before cutting', 'serve with raspberry sauce and fresh raspberries']",this is a recipe from bon appetit magazine. prepare this in a 9 or 10 inch spring form pan.,"['butter', 'brown sugar', 'whole wheat flour', 'rolled oats', 'ground cinnamon', 'cream cheese', 'buttermilk', 'eggs', 'all-purpose flour', 'baking soda', 'vanilla', 'soft coconut macaroon']",12
amish buttermilk cookies,25,"[938.3, 59.0, 277.0, 47.0, 28.0, 58.0, 44.0]",7,"['preheat oven to 425', 'in a large bowl , cream together sugar and crisco -- beat in the eggs , one at a time , then stir in the vanilla', 'combine the flour , baking powder , baking soda and salt', 'in seperate bowl -- and then add to the creamed mixture alternately with buttermilk', 'drop by rounded tspful 2"" apart onto greased sheet', 'bake at 425 for 6-8 minutes', 'allow cookies to cool 5 minutes before removing to rack to cool completely']",my dsl makes these every christmas for our family get together...,"['sugar', 'crisco', 'eggs', 'vanilla extract', 'flour', 'baking powder', 'baking soda', 'salt', 'buttermilk']",9
amish butterscotch brownies,70,"[222.4, 10.0, 106.0, 10.0, 4.0, 19.0, 12.0]",5,"['melt butter in a pan , stir in the sugar', 'heat it until the sugar has melted', 'allow it to cool then add the beaten egg , flour , vanilla , salt , and baking powder', 'bake the dough at 350 degrees for 30 minutes', 'cut then sprinkle it with confectioners sugar , if you like']","im only 12 and i can make it so it is obviouly very simple, easy and fun. amd expecitally yummy.","['butter', 'brown sugar', 'egg', 'all-purpose flour', 'vanilla', 'salt', 'baking powder']",7
amish cabbage   potato casserole,140,"[858.4, 77.0, 65.0, 35.0, 85.0, 123.0, 20.0]",9,"['brown ground chuck , onions and garlic in a skillet', 'drain', 'mix in catsup and set aside', 'in a 2 quart baking dish , layer 1 / 2 of the cabbage , then 1 / 2 of the potatoes , and salt & pepper to taste', 'layer the velveeta cheese slices on top', 'then spread on all of the meat mixture', 'add another layer of the cabbage , then another layer of potatoes and salt & pepper to taste', 'arrange pats of butter evenly on top', 'pour milk over entire casserole and bake , covered , for 1 1 / 2 hours to 2 hours in a preheated 350 degree oven']","this recipe intrigued me because i'm drawn to amish cooking.  although i really liked it just as written (it's tasty comfort food), i believe it has the potential to be tweaked by just the right zaar chef to make it a winner in the inexpensive-yet-delicious category (if there is one)...so have at it, zaar chefs!!!  :)","['ground chuck', 'onion', 'garlic cloves', 'catsup', 'green cabbage', 'yukon gold potatoes', 'velveeta cheese', 'whole milk', 'butter', 'salt & pepper']",10
amish cabbage patch stew,40,"[148.0, 5.0, 32.0, 85.0, 29.0, 6.0, 5.0]",5,"['brown the meat in a dutch oven and drain', 'add onions , celery cabbage and cook until wilted', 'add water worcestershire sauce , chili powder , salt and sugar', 'add tomatoes and beans', 'cover and cook 30 minutes']",this simple and satisifiing main dish came from my amish friend and it is one of my husband's favorite meals,"['extra lean ground beef', 'onion', 'celery', 'cabbage', 'worcestershire sauce', 'chili powder', 'salt', 'sugar', 'stewed tomatoes', 'kidney beans', 'water']",11
amish cake,35,"[496.0, 26.0, 222.0, 17.0, 11.0, 46.0, 27.0]",11,"['preheat oven to 375 degrees f', 'and grease and flour bottom of 9x13 pan', 'for cake: cream butter and sugar together until fluffy', 'blend in buttermilk or sour milk and 2 teaspoons of baking soda , there should be some foaming', 'add 3 cups flour and mix until blended', 'add vanilla last', 'pour batter into prepared pan and bake 25-30 minutes or until knife inserted comes out clean', 'for topping: blend soft butter , milk , brown sugar and nuts in a small bowl', 'when cake comes out of oven and is still warm , spread with topping mixture and return to oven to bake until bubbly', 'about 1-2 minutes', 'remove from oven again and cool']",i love brown sugar cakes and this is one of the best. from amish cooking by pathway publishers. please note that buttermilk or sour milk can be used. sour milk is made by adding 1 tablespoon lemon juice or vinegar in the bottom of a measuring cup then fill the rest of the way with milk. set aside to sour for 5 minutes.,"['butter', 'brown sugar', 'buttermilk', 'baking soda', 'flour', 'vanilla essence', 'milk', 'nuts']",8
amish casserole,35,"[558.5, 44.0, 38.0, 43.0, 64.0, 67.0, 14.0]",13,"['in a skillet , brown the ground beef and onion', 'drain off any excess grease', ""season with lawry's seasoned salt and black pepper"", 'according to taste', 'add the tomato soup and brown sugar to the cooked beef , and stir', 'cook the noodles according to pkg', 'directions , and then drain them', 'add the cream of chicken soup to the hot-cooked noodles , and stir', 'in a casserole baking dish', 'add the beef / soup mixture', 'top with the slices of velveeta cheese', 'add the noodle / soup mixture ontop of the velveeta cheese slices', 'cover , and bake for 35 minutes in a 350 degree oven']","i love this simple, basic, main dish. including the prep time and the actual minutes of baking this casserole, it can be prepared within an hour.","['ground beef', 'onion', ""lawry's seasoned salt"", 'black pepper', 'dark brown sugar', 'condensed tomato soup', 'condensed cream of celery soup', 'noodles', 'cheese']",9
amish chewy oatmeal cookies,40,"[1083.1, 71.0, 333.0, 31.0, 30.0, 57.0, 51.0]",4,"['cream butter and sugar', 'add eggs and vanilla', 'stir together dry ingredients and stir into butter', 'drop by teaspoonfuls and bake at 350 10-12 minutes']",an amish recipe i'm putting here to try later.,"['sugar', 'brown sugar', 'shortening', 'eggs', 'vanilla', 'oatmeal', 'flour', 'salt', 'baking soda']",9
amish chicken,105,"[863.0, 103.0, 2.0, 148.0, 22.0, 206.0, 18.0]",3,"['dredge the chicken pieces in the flour and spices and arrange skin side up in a baking dish', 'mix the cream and water and pour over the chicken', 'bake at 350 for 1 1 / 2 hours or until the skin is golden brown']",this recipe copmes from an amish cookbook from the great state of ohio. it has a great flavor and makes it's own gravy that go great on mashed potatoes or stuffing. it's a simple recipe to make and my dh and dd's love it!,"['chicken pieces', 'flour', 'garlic powder', 'salt', 'pepper', 'paprika', 'heavy whipping cream', 'water']",8
amish chicken   cornbread stuffing for the crock pot or oven,115,"[387.4, 34.0, 14.0, 35.0, 44.0, 51.0, 7.0]",14,"[""if you're using a whole chicken cook the chicken for an hour in water to cover seasoned with your favorite seasonings"", 'remove chicken from the broth and retain both', 'allow to cool and remove the chicken from the bones and dice', 'put the cornbread , bread , and crackers in a large bowl', 'saute the onions and celery in the butter', 'pour this into the bread& cracker crumbs , add the seasoning and mix well', 'pour enough broth into the mixture to just moisten', 'add the eggs , milk and enough broth to make a very slushy mixture', 'add the chicken and mix well', 'pack this tightly into a crock pot or baking dish large enough to hold the mixture', 'for the crock pot: cover and cook on high for 4 hours', 'reduce heat to low and cook 4 to 8 hours longer', 'for oven: cover with lid or tin foil and bake at 350 for an hour', 'uncover and bake another 15 to 30 minutes until baked through and top is lightly browned']","this is really delicious, one of my favorite crock pot recipes that can as easily be made as a casserole and baked in the oven. it lends itself easily to your favorite variations. i did not include boiling the chicken in the time since that is an option, and you can use already prepared cooked chicken, and i listed the time for oven baking, not the crock pot version. you can either cook a whole chicken in water with your favorite seasonings to make the broth, or use cooked chicken use canned broth. works well either way. i've had it a long time and can't remember the source.","['cornbread', 'bread', 'ritz crackers', 'butter', 'onion', 'celery', 'seasoning', 'salt and pepper', 'chicken broth', 'eggs', 'milk', 'baking powder', 'cooked chicken', 'dried cranberries']",14
amish chicken casserole,75,"[576.6, 37.0, 8.0, 78.0, 70.0, 36.0, 17.0]",5,"['melt margarine , then add flour and stir until smooth', 'gradually add milk and broth , then seasonings and mushrooms', 'combine chicken , cooked noodles , and prepared sauce', 'place in an ungreased 9 x 13 inch baking pan and top with parmesan cheese', 'bake at 350f for 35-45 minutes , or until heated thoroughly and top is browned slightly']",a casserole for the nights you have to get a good meal on the table in a hurry. i love casseroles that use good ingredients and is a recipe that you can change to your own taste. you could add some other vegetables to this one. i just love the dutch-amish recipes.,"['noodles', 'cooked chicken', 'chicken broth', 'milk', 'mushrooms', 'salt', 'pepper', 'margarine', 'flour', 'parmesan cheese']",10
amish chicken corn soup,55,"[153.8, 6.0, 11.0, 21.0, 30.0, 10.0, 4.0]",7,"['in a dutch oven or soup kettle , combine the water , chicken , onion , celery , carrots and bouillon', 'bring to a boil', 'reduce heat', 'simmer , uncovered , for 30 minutes or until chicken is no longer pink and vegetables are tender', 'stir in the corn , noodles and butter', 'cook 10 minutes longer or until noodles are tender', 'season with salt and pepper']","lol you might notice, a lot of these recipes that i'm posting serve a lot of people. it's because.. i have a huge family. :)","['water', 'boneless skinless chicken breasts', 'onion', 'celery', 'carrot', 'chicken bouillon cubes', 'cream-style corn', 'egg noodles', 'butter', 'salt', 'pepper']",11
